Number of points = 26

Temperature = 415.000 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	  3360.534	   403.264
      0.130	   995.339	   129.394
      0.140	   425.697	    59.598
      0.150	   202.307	    30.346
      0.160	    97.462	    15.594
      0.170	    43.945	     7.471
      0.180	    15.675	     2.822
      0.200	    -6.537	    -1.307
      0.220	   -10.164	    -2.236
      0.240	    -7.583	    -1.820
      0.260	    -3.137	    -0.816
      0.280	     1.549	     0.434
      0.300	     5.878	     1.764
      0.350	    14.280	     4.998
      0.400	    19.607	     7.843
      0.450	    22.805	    10.262
      0.500	    24.624	    12.312
      0.550	    25.559	    14.057
      0.600	    25.925	    15.555
      0.650	    25.925	    16.851
      0.750	    25.302	    18.976
      0.800	    24.821	    19.857
      0.900	    23.717	    21.345
      1.000	    22.553	    22.553
      1.500	    17.511	    26.267
      2.000	    14.085	    28.170

 Roots of the Boyle curve:

        p [atm]   pv1 [atm/mol]  pv2 [atmL/mol]

     97.462	    27.141	   113.476
     43.945	    10.688	   129.929
     15.675	     3.616	   137.001
     -6.537	    -1.454	   142.071
    -10.164	    -2.248	   142.865
     -7.583	    -1.684	   142.301
     -3.137	    -0.702	   141.318
      1.549	     0.349	   140.268
      5.878	     1.334	   139.283
     14.280	     3.286	   137.331
     19.607	     4.554	   136.063
     22.805	     5.327	   135.290
     24.624	     5.770	   134.846
     25.559	     6.000	   134.617
     25.925	     6.090	   134.527
     25.925	     6.090	   134.527
     25.302	     5.937	   134.680
     24.821	     5.819	   134.798
     23.717	     5.549	   135.068
     22.553	     5.265	   135.351
     17.511	     4.052	   136.565
     14.085	     3.240	   137.377

------------------------------------

Temperature = 460.000 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	  3843.906	   461.269
      0.130	  1204.644	   156.604
      0.140	   559.268	    78.298
      0.150	   300.389	    45.058
      0.160	   174.954	    27.993
      0.170	   107.992	    18.359
      0.180	    70.254	    12.646
      0.200	    35.585	     7.117
      0.220	    24.132	     5.309
      0.240	    21.339	     5.121
      0.260	    21.867	     5.685
      0.280	    23.570	     6.600
      0.300	    25.552	     7.666
      0.350	    29.814	    10.435
      0.400	    32.441	    12.976
      0.450	    33.738	    15.182
      0.500	    34.147	    17.073
      0.550	    33.994	    18.697
      0.600	    33.495	    20.097
      0.650	    32.791	    21.314
      0.750	    31.091	    23.318
      0.800	    30.189	    24.151
      0.900	    28.403	    25.563
      1.000	    26.712	    26.712
      1.500	    20.172	    30.258
      2.000	    16.041	    32.082

 Roots of the Boyle curve:

        p [atm]   pv1 [atm/mol]  pv2 [atmL/mol]

    107.992	    31.184	   109.432
     70.254	    18.124	   122.493
     35.585	     8.512	   132.104
     24.132	     5.650	   134.967
     21.339	     4.971	   135.645
     21.867	     5.099	   135.518
     23.570	     5.513	   135.104
     25.552	     5.998	   134.619
     29.814	     7.054	   133.563
     32.441	     7.713	   132.903
     33.738	     8.042	   132.575
     34.147	     8.146	   132.471
     33.994	     8.107	   132.510
     33.495	     7.980	   132.637
     32.791	     7.802	   132.815
     31.091	     7.374	   133.243
     30.189	     7.148	   133.469
     28.403	     6.702	   133.914
     26.712	     6.284	   134.333
     20.172	     4.690	   135.927
     16.041	     3.702	   136.914

------------------------------------

Temperature = 508.100 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	  4360.577	   523.269
      0.130	  1428.368	   185.688
      0.140	   702.041	    98.286
      0.150	   405.228	    60.784
      0.160	   257.785	    41.246
      0.170	   176.452	    29.997
      0.180	   128.592	    23.147
      0.200	    80.610	    16.122
      0.220	    60.791	    13.374
      0.240	    52.254	    12.541
      0.260	    48.593	    12.634
      0.280	    47.108	    13.190
      0.300	    46.581	    13.974
      0.350	    46.418	    16.246
      0.400	    46.159	    18.463
      0.450	    45.425	    20.441
      0.500	    44.326	    22.163
      0.550	    43.010	    23.655
      0.600	    41.587	    24.952
      0.650	    40.130	    26.085
      0.750	    37.279	    27.959
      0.800	    35.928	    28.742
      0.900	    33.413	    30.072
      1.000	    31.157	    31.157
      1.500	    23.015	    34.523
      2.000	    18.131	    36.262

 Roots of the Boyle curve:

        p [atm]   pv1 [atm/mol]  pv2 [atmL/mol]

    128.592	    40.648	    99.969
     80.610	    21.360	   119.257
     60.791	    15.333	   125.283
     52.254	    12.932	   127.685
     48.593	    11.933	   128.684
     47.108	    11.532	   129.085
     46.581	    11.391	   129.226
     46.418	    11.347	   129.270
     46.159	    11.277	   129.339
     45.425	    11.081	   129.535
     44.326	    10.789	   129.828
     43.010	    10.441	   130.176
     41.587	    10.066	   130.550
     40.130	     9.685	   130.931
     37.279	     8.947	   131.670
     35.928	     8.600	   132.017
     33.413	     7.959	   132.657
     31.157	     7.390	   133.226
     23.015	     5.378	   135.239
     18.131	     4.200	   136.417

------------------------------------

Temperature = 530.000 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	  4595.818	   551.498
      0.130	  1530.230	   198.930
      0.140	   767.046	   107.386
      0.150	   452.961	    67.944
      0.160	   295.498	    47.280
      0.170	   207.622	    35.296
      0.180	   155.153	    27.928
      0.200	   101.110	    20.222
      0.220	    77.481	    17.046
      0.240	    66.329	    15.919
      0.260	    60.762	    15.798
      0.280	    57.825	    16.191
      0.300	    56.156	    16.847
      0.350	    53.978	    18.892
      0.400	    52.404	    20.962
      0.450	    50.746	    22.836
      0.500	    48.961	    24.480
      0.550	    47.115	    25.913
      0.600	    45.271	    27.163
      0.650	    43.472	    28.257
      0.750	    40.097	    30.073
      0.800	    38.540	    30.832
      0.900	    35.694	    32.125
      1.000	    33.181	    33.181
      1.500	    24.310	    36.465
      2.000	    19.083	    38.166

 Roots of the Boyle curve:

        p [atm]   pv1 [atm/mol]  pv2 [atmL/mol]

    155.153	    63.953	    76.663
    101.110	    28.497	   112.119
     77.481	    20.360	   120.257
     66.329	    16.949	   123.668
     60.762	    15.325	   125.292
     57.825	    14.487	   126.129
     56.156	    14.017	   126.600
     53.978	    13.409	   127.208
     52.404	    12.974	   127.643
     50.746	    12.518	   128.098
     48.961	    12.032	   128.584
     47.115	    11.534	   129.083
     45.271	    11.040	   129.576
     43.472	    10.563	   130.054
     40.097	     9.677	   130.940
     38.540	     9.272	   131.344
     35.694	     8.540	   132.077
     33.181	     7.901	   132.716
     24.310	     5.694	   134.923
     19.083	     4.428	   136.189

------------------------------------

Temperature = 548.800 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	  4797.760	   575.731
      0.130	  1617.673	   210.297
      0.140	   822.849	   115.199
      0.150	   493.937	    74.091
      0.160	   327.873	    52.460
      0.170	   234.380	    39.845
      0.180	   177.955	    32.032
      0.200	   118.708	    23.742
      0.220	    91.809	    20.198
      0.240	    78.412	    18.819
      0.260	    71.208	    18.514
      0.280	    67.025	    18.767
      0.300	    64.375	    19.312
      0.350	    60.468	    21.164
      0.400	    57.766	    23.106
      0.450	    55.313	    24.891
      0.500	    52.939	    26.470
      0.550	    50.639	    27.851
      0.600	    48.434	    29.060
      0.650	    46.340	    30.121
      0.750	    42.515	    31.887
      0.800	    40.783	    32.626
      0.900	    37.652	    33.887
      1.000	    34.919	    34.919
      1.500	    25.421	    38.132
      2.000	    19.900	    39.800

 Roots of the Boyle curve:

        p [atm]   pv1 [atm/mol]  pv2 [atmL/mol]

    118.708	    35.782	   104.835
     91.809	    25.119	   115.498
     78.412	    20.655	   119.961
     71.208	    18.413	   122.203
     67.025	    17.155	   123.462
     64.375	    16.373	   124.244
     60.468	    15.241	   125.376
     57.766	    14.471	   126.146
     55.313	    13.781	   126.836
     52.939	    13.121	   127.495
     50.639	    12.489	   128.128
     48.434	    11.890	   128.727
     46.340	    11.326	   129.291
     42.515	    10.310	   130.306
     40.783	     9.856	   130.761
     37.652	     9.043	   131.574
     34.919	     8.342	   132.275
     25.421	     5.966	   134.651
     19.900	     4.624	   135.993

------------------------------------

Temperature = 853.700 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	  8072.874	   968.745
      0.130	  3035.830	   394.658
      0.140	  1727.869	   241.902
      0.150	  1158.497	   173.775
      0.160	   852.928	   136.468
      0.170	   668.338	   113.617
      0.180	   547.753	    98.596
      0.200	   404.113	    80.823
      0.220	   324.183	    71.320
      0.240	   274.374	    65.850
      0.260	   240.624	    62.562
      0.280	   216.228	    60.544
      0.300	   197.675	    59.302
      0.350	   165.721	    58.003
      0.400	   144.723	    57.889
      0.450	   129.393	    58.227
      0.500	   117.464	    58.732
      0.550	   107.791	    59.285
      0.600	    99.726	    59.836
      0.650	    92.862	    60.361
      0.750	    81.742	    61.306
      0.800	    77.157	    61.726
      0.900	    69.408	    62.467
      1.000	    63.097	    63.097
      1.500	    43.446	    65.169
      2.000	    33.150	    66.301

 Roots of the Boyle curve:

        p [atm]   pv1 [atm/mol]  pv2 [atmL/mol]

    144.723	    51.074	    89.543
    129.393	    41.078	    99.539
    117.464	    35.217	   105.399
    107.791	    31.103	   109.513
     99.726	    27.978	   112.639
     92.862	    25.489	   115.128
     81.742	    21.726	   118.890
     77.157	    20.257	   120.359
     69.408	    17.868	   122.748
     63.097	    16.000	   124.617
     43.446	    10.556	   130.061
     33.150	     7.893	   132.724

------------------------------------

Temperature = 1219.500 K

      v [L/mol]         p [atm]   pv [atmL/mol]

      0.120	 12002.151	  1440.258
      0.130	  4737.247	   615.842
      0.140	  2813.656	   393.912
      0.150	  1955.795	   293.369
      0.160	  1482.856	   237.257
      0.170	  1188.974	   202.126
